영화명,장르,배우,감독,제작사,상영시간,개봉일,줄거리,url,TMDB 키워드,Gemini 키워드,국가,실관람객 평점,네티즌 평점,네이버 관심도(찜),누적 관객수,온라인 판매실적(당월),온라인 판매실적(익월),온라인 판매실적(익익월),매력도,유사작,경쟁작,예측 매력도
댓글부대,"범죄, 드라마","손석구, 김성철, 김동휘, 홍경, 이찬유, 김한솔, 손희서, 박상혁, 윤덕용, 이현, 박인국",안국진,"(주)영화적순간, 주식회사 디믹스스튜디오, (주)에이스메이커무비웍스, (주)에이스메이커무비웍스, 케이씨벤처스 주식회사, (주)에이스메이커무비웍스, (사)한국농아인협회, 한국시각장애인연합회",109.0,20240327.0,"실력 있지만 허세 가득한 사회부 기자 임상진.  대기업 만전의 비리를 취재하지만 오보로 판명되며 정직당한다. 그러던 어느 날, 온라인 여론을 조작했다는 의문의 제보자가 찾아오는데…",https://image.tmdb.org/t/p/w500/eR7ybceTRhBFjsdlshXqAAihBFg.jpg,"journalist, based on novel or book, national intelligence service (nis)","서스펜스 있는,도시,정의",한국,7.551,7.36,6537,97만,46060,22705,6783,75548,"열혈검사, 브로큰, 명탐정 코난: 100만 달러의 펜타그램, 스트리밍, 설계자","당신이 잠든 사이, 탐정 말로, 1980, 고질라 X 콩: 뉴 엠파이어, 비키퍼",83055.265
더 와일드: 야수들의 전쟁,"액션, 범죄","박성웅, 오대환, 오달수, 주석태, 서지혜, 강현아, 라윤",김봉한,"(주)아센디오, (주)제이앤씨미디어그룹, TCO(주)더콘텐츠온, (주)제이앤씨미디어그룹, (주)아센디오, (주)제이앤씨미디어그룹, 주식회사 케이무비엔터테인먼트",110.0,20231115.0,"불법 사설 도박장에서 경기 중 상대를 죽인 죄로 징역 8년을 선고받은 전직 복싱 선수 우철. 모범수로 사면된 우철은 조직으로 돌아오라는 도식의 제안을 거절하고, 과거를 잊은 채 평범하게 살기로 결심한다. 하지만 우철은 도식을 비롯해 비리 경찰 정곤과 마약 브로커 각수까지 인간 이하의 짐승들과 필연적으로 얽히며 야수들의 전쟁 속에 뛰어들게 되는데…",https://image.tmdb.org/t/p/w500/sm9ETmNPR25kBhRAL1vB6IxvTf8.jpg,wild life,"폭력적인,도시,범죄",한국,7.901,4.47,675,4.4만,12543,5127,1951,19621,"더러운 돈에 손대지 마라, 범죄도시4, 범죄도시3, 구룡성채: 무법지대, 보호자","어른 김장하, 헝거게임: 노래하는 새와 뱀의 발라드, 서울의 봄",18773.775
더 커버넌트,"전쟁, 액션, 드라마","제이크 질렌할, 다 살림",가이 리치,"(주)제이앤씨미디어그룹, 와이드 릴리즈(주)",123.0,20240927.0,"끝이 보이지 않았던 전쟁의 한가운데 미 육군 소속 상사 ‘존 킨리’(제이크 질렌할)는 습격을 당한다. 목숨을 잃을 절체절명의 순간, 그는 현지 통역사 ‘아메드’(다 살림)의 도움으로 생환에 성공하고 ‘아메드’와 그의 가족들이 미국에서 살 수 있도록 최선을 다 하겠다고 약속한다  생환 이후의 어느 날, ‘존 킨리’는 자신을 도와주었던 ‘아메드’가 미국에 오지 못했으며 적들에게 억류되어 있다는 사실을 알게 된다.",https://image.tmdb.org/t/p/w500/11EHXs37YRZPyIyJjlUB2FAnbys.jpg,"rescue, ambush, interpreter, afghanistan, afghanistan war (2001-2021), war, exhilarated","긴장감 있는,군대,우정",미국,8.801,9.54,1089,5.1만,4102,1144,1282,6528,"칸다하, 랜드 오브 배드, 탈주, 타겟, 주차금지",,22201.86
더 퍼스트 슬램덩크,애니메이션,,이노우에 다케히코,"(주)넥스트엔터테인먼트월드(NEW), 에스엠지홀딩스 주식회사",124.0,20230104.0,"전국 제패를 꿈꾸는 북산고 농구부 5인방의 꿈과 열정, 멈추지 않는 도전을 그린 영화",https://image.tmdb.org/t/p/w500/coiJrdXAXuBkSGDvp9bZ7mkuU6E.jpg,"high school, competition, basketball, high school sports, romance, tournament, based on manga, sport competition, school life, shounen, anime, school club, japanese high school, 3d animation, bukatsu","영감을 주는,학교,성장",일본,9.261,9.48,15123,490만,6333,59316,18075,83724,"1947 보스톤, 해리 포터와 불의 잔, 패션왕, 어른 김장하, 건국전쟁",,123854.445
더러운 돈에 손대지 마라,"범죄, 드라마","정우, 김대명, 박병은, 조현철, 정해균, 백수장, 유태오, 임화영, 김윤성",김민수,"리양필름(주), (주)에이스메이커무비웍스, (주)에이스메이커무비웍스, (주)에이스메이커무비웍스",100.0,20241017.0,"수사도, 뒷돈 챙기는 부업도 늘 함께하는 생계형 형사 명득과 동혁. 우연히 범죄 조직의 검은돈에 대한 정보를 입수한 두 사람은 인생 역전을 위해 신고도, 추적도 불가한 돈을 훔치기로 계획한다. 그러나 완벽한 계획을 세웠다고 생각했던 현장에서 잠입 수사 중이던 형사의 죽음으로 사건은 꼬여만 간다. 살인 사건이 된 범죄 현장을 명득과 동혁이 직접 수사하게 되고 은폐하려고 했던 사건 현장의 증거가 두 사람을 지목하면서 그들을 점점 압박해 오는데…",https://image.tmdb.org/t/p/w500/2XkmblX1FB1v4Pb9GQlmhSe861e.jpg,,"폭력적인,도시,범죄",한국,7.021,7.4,1992,8.8만,43679,13898,0,57577,"더 와일드: 야수들의 전쟁, 범죄도시4, 범죄도시3, 구룡성채: 무법지대, 보호자","구룡성채: 무법지대, 보통의 가족, 베놈, 베놈: 라스트 댄스",41155.18
데드풀과 울버린,"액션, 코미디, SF","라이언 레이놀즈, 휴 잭맨",숀 레비,"월트디즈니컴퍼니코리아 유한책임회사, 월트디즈니컴퍼니코리아 유한책임회사",127.0,20240724.0,"히어로 생활에서 은퇴한 후, 평범한 중고차 딜러로 살아가던 데드풀이 예상치 못한 거대한 위기를 맞아 모든 면에서 상극인 울버린을 찾아가게 되며 펼쳐지는 도파민 폭발 액션 블록버스터.",https://image.tmdb.org/t/p/w500/dsfAcQ5J7TPOpJgcX8R1lRBqiMK.jpg,"hero, superhero, anti hero, mutant, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), mutants, superhero teamup","유머러스한,판타지 세계,우정",미국,7.661,5.98,4631,197만,6350,67408,10994,84752,"레드 원, 드래곤 길들이기, 뽀로로 극장판 바닷속 대모험, A MINECRAFT MOVIE 마인크래프트 무비, 트롤: 월드 투어","명탐정 코난: 100만 달러의 펜타그램, 슈퍼 배드, 슈퍼배드, 파일럿",89204.985
동창회의 목적 2 (무삭제),멜로/로맨스,,성우진,"영화사 인연, 영화사 인연",102.0,20171027.0,,,softcore,"로맨틱한,현대,사랑/로맨스",한국,0.0,0.0,48,0,3267,1790,1303,6360,"나의 사랑 나의 신부, 바이러스, 당신이 잠든 사이, 말할 수 없는 비밀, 알라딘",,7468.575
동화지만 청불입니다,코미디,"박지현, 최시원, 성동일, 박건일, 황세온, 설우인, 박철민, 김영아, 이시엘, 남중규, 이정형, 곽자형, 김창환, 황현빈, 문진승, 최재희, 박호산, 김서라, 최병모, 경찬, 백한솔, 이주미",이종석,"골드독엔터테인먼트(주), (주)기억속의매미, (주)영화사수작, (주)마노엔터테인먼트, (주)미디어캔, (주)영화특별시에스엠씨, (주)미디어캔, (주)바른손이앤에이",109.0,20250108.0,"동화 작가가 꿈이지만 현실은 불법 음란물 단속팀 새내기인 단비는 스타 작가를 찾던 성인 웹소설계 대부 황대표와 우연한 사고로 노예 계약을 맺게 되면서 하루아침에 19금 소설을 쓰게 된다. 생전 접한 적 없는 장르를 집필하는 데 난항을 겪던 단비는 음란물 단속을 하다 권태기에 빠진 선배 정석의 응원과, 친구들의 생생한 경험담에 힘입어 어느새 자신도 알지 못했던 성스러운 재능을 발견하게 되는데…",https://image.tmdb.org/t/p/w500/mkQE7ZOhBMoVhDFbwLiJ43T5GzX.jpg,lighthearted,"가볍고 유쾌한,현대,성장",한국,7.551,5.98,1441,16만,700,8637,2189,11526,"수퍼 소닉2, 수퍼 소닉3, 파일럿, 쿵푸팬더4, 뽀로로 극장판 슈퍼스타 대모험","뽀로로 극장판 바닷속 대모험, 수퍼 소닉, 수퍼 소닉3",32535.975
듄,액션,"티모시 샬라메, 젠데이아 콜먼, 레베카 퍼거슨, 조슈 브롤린, 오스틴 버틀러, 플로렌스 퓨, 데이브 바티스타, 크리스토퍼 월켄, 스티븐 헨더슨, 레아 세이두, 스텔란 스카스가드, 샬롯 램플링, 하비에르 바르뎀",드니 빌뇌브,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",165.0,20240228.0,우주군 구조대 소속의 여군 아스트리드 영 중위는 임무 활동 중 군의 규정을 어기면서까지 우주에서 위험에 처해 유영하는 한 러시아 우주비행사를 구한다. 목숨은 구했지만 우주군의 규정을 어긴 죄로 그녀는 ‘사구 행성’이라 불리는 버려진 행성으로 가게 된다. 임무는 다른 범죄자들과 같이 ‘사구 행성’으로 가서 망가진 화물선 견인과 생존자 구조를 하는 것이다. 행성에 도착한 구조대는 생존자를 어렵게 찾아내지만 예상치 못한 사막의 거대한 벌레들과 맞닥뜨리게 되는데...,https://image.tmdb.org/t/p/w500/odnC3IMpqkgX6sOr3gbzGqKe2N0.jpg,,"어두운,미래,권력",미국,8.851,7.7,8287,166만,2226,27868,60108,90202,"듄: 파트2, 풍재기시, 악마와의 토크쇼, 헝거게임: 노래하는 새와 뱀의 발라드, 콘클라베","파묘, 듄: 파트2",97164.02
듄: 파트2,액션,"티모시 샬라메, 젠데이아 콜먼, 레베카 퍼거슨, 조슈 브롤린, 오스틴 버틀러, 플로렌스 퓨, 데이브 바티스타, 크리스토퍼 월켄, 스티븐 헨더슨, 레아 세이두, 스텔란 스카스가드, 샬롯 램플링, 하비에르 바르뎀",드니 빌뇌브,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",165.0,20240228.0,,,,"어두운,미래,권력",미국,8.971,9.03,6628,201만,48660,55467,22777,126904,"듄, 풍재기시, 악마와의 토크쇼, 헝거게임: 노래하는 새와 뱀의 발라드, 콘클라베","파묘, 듄",83490.625
드래곤 길들이기 2,"애니메이션, 액션, 어드벤처","제이 바루첼, 제라드 버틀러, 케이트 블란쳇, 아메리카 페레라",딘 데블로이스,"(주)씨제이이엔엠, (주)씨제이이엔엠",101.0,20140723.0,"바이킹과 드래곤이 친구가 되어 평화롭게 살아가는 버크섬.  청년이 된 히컵은 아버지 스토이크의 바람과는 달리  족장이 되는 것 보다 버크섬 밖의 더 넓은 세상을 보고 싶어한다.  그러던 어느 날, 신비로운 얼음대륙을 탐험하던 히컵과 투슬리스는 드래곤 사냥꾼들이 쳐놓은 덫에 걸리고,  드래곤들을 위협하는 강력한 어둠의 존재에 대해 알게 된다.  히컵과 투슬리스는 드래곤들의 평화를 위해  의문의 드래곤 군단과 맞서기로 결심하는데…",https://image.tmdb.org/t/p/w500/kSP4QmHMLnbySksUb2O9sGkoEQM.jpg,"rescue, husband wife relationship, sacrifice, parent child relationship, loss of loved one, villain, vikings (norsemen), sequel, dragon, warrior, mother son relationship","마음이 따뜻해지는,판타지 세계,가족",미국,8.801,9.05,8686,299만,596,361,304,1261,"드래곤 길들이기 3, 사랑의 하츄핑, 아바타: 물의 길, 겨울왕국, 레드 원",,3293.675
드래곤 길들이기 3,애니메이션,"제이 바루첼, 아메리카 페레라, 케이트 블란쳇, 킷 해링턴, 크레이그 퍼거슨, F. 머레이 아브라함",딘 데블로이스,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",104.0,20190130.0,"영원한 친구 히컵과 투슬리스의 활약으로 사람과 드래곤이 공존하며 평화롭게 살아가는 버크섬. 새로운 드래곤 ‘라이트 퓨어리’를 쫓아간 투슬리스를 찾다가 히컵은 누구도 찾지 못했던 드래곤의 파라다이스 ‘히든월드’를 우연히 발견하게 된다. 하지만 평화도 잠시, 역대 최악의 드래곤 헌터 그리멜의 등장으로 드래곤들의 안전과 버크섬의 평화까지 위협받기 시작하는데…",https://image.tmdb.org/t/p/w500/51HTWy1h5a2cbXC9gKYGOt2YQBV.jpg,"based on novel or book, flying, villain, vikings (norsemen), sequel, overpopulation, dragon, love interest, based on children's book","마음이 따뜻해지는,판타지 세계,성장",미국,9.251,9.27,2218,150만,564,392,306,1262,"드래곤 길들이기 2, 사랑의 하츄핑, 모아나 2, 모아나, 위시",,2467.815
드래곤 길들이기,"액션, 어드벤처, 판타지","메이슨 테임즈, 제라드 버틀러, 니코 파커, 닉 프로스트, 줄리안 데니슨, 가브리엘 하웰, 브론윈 제임스, 해리 트레발드윈, 이대휘, 장예나, 안장혁, 최석필, 남도형, 박주광, 이상호, 김보나, 김자연, 김민주, 김서현, 장채연, 이동윤, 원종준, 오건우",딘 데블로이스,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",125.0,20250606.0,"수백년간 지속되어온 바이킹과 드래곤의 전쟁. 드래곤을 없애는 것이 삶의 모든 목적인 바이킹들과 다른 신념을 가진 '히컵'은 무리 속에 속하지 못하고 족장인 아버지에게도 인정받지 못한다. 그러던 어느 날, 히컵은 베일에 싸인 전설의 드래곤 나이트 퓨어리인 '투슬리스'와 만나게 되고, 드래곤을 죽이라는 바이킹의 신념을 깨고 '투슬리스'와 친구가 된다. 하지만 드래곤을 죽여야 된다고 믿는 바이킹 족과 모든 드래곤을 위협하는 더 거대한 존재와 맞닥뜨리게 된 '히컵'과 '투슬리스'. 세상을 변화시키기 위한 특별한 여정을 시작하게 되는데... 다르다는 건, 특별하다는 것. 세상을 바꿀 우리들의 모험이 시작된다!",https://image.tmdb.org/t/p/w500/8vywrRg1wrY4fo7EqgrFmUJgchG.jpg,"flying, vikings (norsemen), remake, dragon, battle, warrior, live action remake, based on young adult novel, fantasy","희망적인,판타지 세계,우정",미국,9.221,9.73,5629,178만,775,414,415,1604,"모아나, 모아나 2, 위시, 라푼젤, 센과 치히로의 행방불명",신명,31006.77
라따뚜이,"애니메이션, 드라마, 코미디, 가족","패튼 오스왈트, 루 로마노, 피터 손",브래드 버드,"픽사 애니메이션 스튜디오, 월트 디즈니 픽쳐스, 한국소니픽쳐스릴리징브에나비스타영화㈜, 한국소니픽쳐스릴리징브에나비스타영화㈜",115.0,20070725.0,"절대미각, 빠른 손놀림, 끓어 넘치는 열정의 소유자 레미. 프랑스 최고의 요리사를 꿈꾸는 그에게 단 한가지 약점이 있었으니, 바로 주방 퇴치대상 1호인 생쥐라는 것. 어느 날 하수구에서 길을 잃은 레미는 파리의 별 다섯개짜리 최고급 레스토랑에 떨어진다. 보글거리는 수프, 둑닥둑닥 도마소리, 향긋한 허브 내음에 식욕이 아닌 요리욕이 북받친 레미의 작은 심장은 콩닥콩닥 뛰기 시작한다. 끝내 주방으로 들어가는 레미는 요리에 열중하다 견습생 링귀니에게 딱 걸리고 만다. 해고위기에 처해있던 링귀니는 레미의 재능을 한눈에 알아보고 의기투합을 제안하는데...",https://image.tmdb.org/t/p/w500/zFah4LNeWw68y7RRGi20CQlGByY.jpg,"work, sibling relationship, paris, france, expensive restaurant, river, confidence, cooking, evacuation, mouse, leaving one's family, restaurant, villain, restaurant critic, spice, cookbook, food, chef, sewer, unlikely friendship, french restaurant, rat, french cuisine, fine dining","마음이 따뜻해지는,도시,성장",미국,9.321,9.32,2491,102만,1066,960,576,2602,"어바웃 타임, 웡카, 드래곤 길들이기 3, 괜찮아 괜찮아 괜찮아!, 대가족",,3348.105
라이온 킹,"어드벤처, 드라마, 가족","도날드 글로버, 비욘세 놀즈, 제임스 얼 존스, 치웨텔 에지오포, 세스 로건",존 파브로,"월트디즈니컴퍼니코리아 유한책임회사, 월트디즈니컴퍼니코리아 유한책임회사",118.0,20190717.0,길을 잃고 혼자가 된 새끼 사자 무파사는 광활한 야생을 떠돌던 중 왕의 혈통이자 예정된 후계자 타카와 우연히 만나게 된다. 마치 친형제처럼 끈끈한 우애를 나누며 함께 자란 무파사와 타카는 운명을 개척하기 위해 거대한 여정을 함께 떠난다. 한 치 앞을 알 수 없는 적들의 위협 속에서 두 형제의 끈끈했던 유대에 금이 가기 시작하고 예상치 못한 위기까지 맞닥뜨리게 되는데…,https://image.tmdb.org/t/p/w500/1VUExee8iFohFTwYVi4IOArYyaM.jpg,"friendship, paradise, lion, musical, prequel, jungle, told in flashback, betrayal by friend, chance meeting, live action remake, found family, lost","영감을 주는,판타지 세계,가족",미국,7.861,8.67,2231,85만,1487,576,510,2573,"아바타: 물의 길, 겨울왕국, 레드 원, 아쿠아맨과 로스트 킹덤, 1947 보스톤",,7559.52
